Diagnosis,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking
Not sure,SC,79539,-,-,58487,9722,11331,79539,-,21052,58487,-,-,-,-,58487,-,21052,58487,-,9722,11331,-,-,-,-,-,58487,-,21052,79539,-,9722,69818,-,58487,21052,-,-,-,-,-,-,-,-,11331,68208,-,-,-,-,9722,-,-,-,11331,58487,-,-,-,-,79539,-,9722,-,-,-,69818,-,-,9722,-,69818,-,9722,-,-,69818,-,9722,-,-,69818
Did not report,SC,3527,-,-,-,-,3527,-,3527,-,3527,-,-,-,-,-,-,3527,-,-,-,-,3527,-,3527,-,-,-,-,-,-,3527,-,-,3527,-,-,3527,-,-,-,-,-,-,806,-,2721,806,-,-,-,806,-,-,-,-,2721,-,-,-,-,-,3527,806,-,-,-,2721,806,-,-,-,2721,806,-,-,-,2721,806,-,-,-,2721
Total,SD,648348,57032,177477,143807,114114,155918,324819,323529,22204,580753,3279,6638,35473,15746,170021,283310,179270,408869,26133,85673,119233,8441,59558,254962,107770,126789,52192,35704,11373,255262,393086,61222,584442,2684,424167,220190,3991,57481,38390,60872,110179,64757,68943,23310,16777,207638,474296,131136,93159,48744,19958,143359,17136,24245,17449,75232,958,4911,-,2750,638814,3738,385543,87425,11440,1547,162394,421906,54127,9378,-,162937,333589,133243,18533,-,162983,410384,67985,7164,421,162394
Yes,SD,102614,-,30615,31491,25528,14981,46879,55735,3750,89699,2125,778,6262,-,21564,50998,30052,74008,1707,9176,16881,842,2845,37363,17085,23966,8390,6465,6501,46323,56291,15404,87210,-,76893,25721,-,11399,4629,14927,13355,14014,15583,1946,323,26438,74012,25527,17683,5903,1353,28849,4405,2183,5565,9421,958,-,-,-,101656,-,58605,16408,5684,958,20958,69149,7749,4758,-,20958,54344,25839,884,-,21548,68015,12556,1085,-,20958
No,SD,531347,49852,142884,109701,87974,140937,266893,264455,18454,476668,1154,5860,29212,15746,147740,219825,148036,331522,24426,76496,92659,6244,55280,214553,88501,102281,43802,22059,4872,197237,334110,38637,492710,-,335571,194469,1307,46083,33761,44150,96824,50743,53360,21364,16454,168609,396305,94450,73681,33865,18604,110532,12731,22062,11884,62584,-,4911,-,2750,524126,2383,324599,71017,5755,589,129387,350962,46378,4620,-,129387,278702,105609,17650,-,129387,340030,55430,6080,421,129387
Not sure,SD,10081,7181,2183,717,-,-,7897,2183,-,10081,-,-,-,-,-,10081,-,2183,-,-,7897,-,717,-,2183,-,-,7181,-,9364,717,7181,2183,717,9364,-,717,-,-,-,-,-,-,-,-,10081,2183,9364,-,7181,-,2183,-,-,-,717,-,-,-,-,10081,-,-,-,-,-,10081,-,-,-,-,10081,-,-,-,-,10081,-,-,-,-,10081
Did not report,SD,4306,-,1795,1898,612,-,3150,1155,-,4306,-,-,-,-,717,2407,1181,1155,-,-,1795,1355,717,3046,-,543,-,-,-,2338,1967,-,2338,1967,2338,-,1967,-,-,1795,-,-,-,-,-,2511,1795,1795,1795,1795,-,1795,-,-,-,2511,-,-,-,-,2951,1355,2338,-,-,-,1967,1795,-,-,-,2511,543,1795,-,-,1967,2338,-,-,-,1967
Total,TN,5279261,536386,1340938,1316311,855237,1230389,2522433,2756828,323894,4037041,614822,112792,190711,374484,1935674,1547678,1421425,2952400,200369,782903,1283056,60534,450081,1773458,1230987,864873,423688,256865,279309,2148133,3131128,959621,4266688,52952,2851975,2366795,60490,561127,430277,542022,582232,388512,448518,251020,216369,1859186,3194016,1072840,814527,496357,133559,1442179,132894,242286,106718,1055282,45473,55436,51091,51312,5148252,64115,2483832,1144321,109302,15762,1526044,3149881,506440,88588,9872,1524480,2136119,1393934,217292,2401,1529515,2812300,712878,201926,29962,1522196
Yes,TN,652952,97822,160504,172935,85209,136482,246600,406352,15455,543053,60367,12864,21214,16212,117005,285521,234216,348814,23252,41837,239049,-,39969,229516,143401,129673,46160,28461,35771,244960,407992,110395,542557,-,405314,247638,-,65596,65298,62696,110039,29884,75975,47758,36143,159563,451040,152681,105342,68333,35395,197284,8067,35986,4390,74139,-,9964,2344,3724,636921,-,345605,160511,32156,-,114680,428586,92940,8857,5606,116964,283377,223203,26086,-,120285,391730,117630,22273,6640,114680
No,TN,4493641,438564,1162635,1139757,750053,1002632,2196249,2297392,262967,3422036,541189,97951,169497,298192,1775015,1242681,1177753,2573639,168346,684043,1044006,23606,393603,1492889,1087587,715566,377528,228403,198065,1839693,2653948,800605,3690466,2570,2427614,2055918,10108,493142,356209,476177,467416,358628,370566,203262,173636,1594606,2715461,903711,702595,428024,96264,1226228,120050,203022,102329,880757,-,-,3275,2115,4461064,27187,2128489,965896,77146,15762,1306348,2704803,402342,79731,4266,1302499,1838271,1160828,187928,2401,1304213,2404078,586478,177264,23322,1302499
Not sure,TN,77509,-,7680,3619,10878,55331,63821,13688,45473,26911,3148,1977,-,53354,-,14699,9456,11715,8770,57023,-,-,9781,7398,-,14857,-,-,45473,59160,18348,48621,28888,-,14270,63239,-,2389,8770,3148,-,-,1977,-,6590,54635,22738,16448,6590,-,1900,13889,-,3278,-,50005,45473,45473,45473,45473,32036,-,9738,13136,-,-,54635,11715,11159,-,-,54635,14471,5126,3278,-,54635,11715,8770,2389,-,54635
Did not report,TN,55159,-,10118,-,9097,35944,15762,39397,-,45041,10118,-,-,6727,43655,4777,-,18232,-,-,-,36928,6727,43655,-,4777,-,-,-,4320,50840,-,4777,50382,4777,-,50382,-,-,-,4777,-,-,-,-,50382,4777,-,-,-,-,4777,4777,-,-,50382,-,-,-,-,18232,36928,-,4777,-,-,50382,4777,-,-,-,50382,-,4777,-,-,50382,4777,-,-,-,50382
Total,TX,21688354,2137868,6540082,5725268,3453717,3831419,10565407,11122947,8081055,9459360,2604608,994074,549257,3289483,5711468,6573347,6114056,11514454,1025777,2841800,6148038,158284,1331186,6035239,4608808,4288217,3295131,1212571,917202,9525209,12163145,5178210,16330892,179252,13064746,8461939,161669,2154233,1744076,1641375,2478090,1978007,1791783,980423,919251,8001117,11611869,4640221,3576675,2251339,920894,6025621,802905,736665,767410,4375727,94663,125283,53991,6257,21216971,196446,9955151,4433271,612388,76444,6611101,12719344,1961779,311350,66588,6629293,8626243,5188976,1165579,90084,6617472,11717639,2438865,849845,69242,6612762
Yes,TX,3909156,583541,1118454,1211346,587856,407959,1714896,2194260,2125625,1212462,423565,88121,59383,847032,1128524,1103126,830474,2002331,211386,478726,1204549,12163,139315,823959,887162,778124,764418,257022,259157,1813259,2095897,1213390,2651195,44571,2539960,1347634,21562,491336,399756,249864,469480,190782,218083,129811,127349,1632695,1528391,918520,756411,526929,222775,1120234,40162,166793,123706,907334,6383,1790,1242,929,3885583,14159,1541934,747971,123175,68065,1428011,2091113,375502,9869,4660,1428011,1223545,996931,192604,68065,1428011,1771842,562332,121013,20158,1433811
No,TX,17606783,1524657,5404089,4459714,2823809,3394514,8782602,8824181,5900079,8167540,2172204,877085,489874,2423329,4544649,5428712,5210093,9431021,814391,2345161,4915675,100536,1179241,5146690,3670962,3471635,2525902,954309,658045,7653976,9952807,3912567,13608102,86114,10473771,7041473,91539,1645968,1340079,1391511,1971654,1784431,1570028,850612,791902,6260598,9978335,3697455,2796030,1690473,695645,4864640,753325,565061,636958,3424571,88280,123493,52749,5328,17207541,133720,8400667,3629259,485812,8378,5082668,10571172,1583235,292062,59454,5100859,7367419,4183807,944500,22019,5089038,9900710,1858699,719762,49084,5078528
Not sure,TX,114170,11414,17540,32027,37851,15338,36777,77393,42847,46542,-,24781,-,19122,28049,21979,45020,71276,-,15927,26966,-,6999,38711,36164,26244,4811,1241,-,47446,66723,42575,71595,-,41337,72832,-,16929,4241,-,27537,2794,2824,-,-,59846,95465,14828,14815,33937,2474,31329,-,4811,6746,4673,-,-,-,-,114170,-,12550,45774,3402,-,52445,56210,3041,-,2474,52445,35279,7390,19056,-,52445,44239,8416,9070,-,52445
Did not report,TX,58245,18257,-,22181,4200,13607,31131,27114,12503,32815,8838,4088,-,-,10246,19530,28469,9825,-,1986,848,45585,5631,25879,14520,12214,-,-,-,10526,47719,9678,-,48567,9678,-,48567,-,-,-,9419,-,848,-,-,47978,9678,9419,9419,-,-,9419,9419,-,-,39148,-,-,-,-,9678,48567,-,10267,-,-,47978,848,-,9419,-,47978,-,848,9419,-,47978,848,9419,-,-,47978
Total,UT,2324002,314513,691983,588856,339690,388959,1158528,1165474,308123,1872798,27418,27676,87987,91980,654834,866509,710679,1488211,54424,191977,573868,15522,93734,600414,416065,465091,293201,290304,165192,970222,1353780,292271,2024135,7596,1609314,703878,10810,205401,193823,168885,315869,278660,323375,104593,102075,631321,1742207,524000,466408,119886,35001,633220,42063,15731,20116,290359,1053,9531,3088,5157,2288936,20450,1360533,442369,35760,13732,471608,1532651,281454,22339,13687,473873,1093438,657244,88318,12599,472402,1539324,260826,39937,14800,469114
Yes,UT,348526,51521,113867,89830,42236,51072,127305,221221,54787,250146,7624,3080,32887,10392,79473,151483,107177,212986,8627,32849,91915,2148,10456,83748,47044,46272,53581,55913,51513,173603,174923,90685,257841,-,231830,114420,2275,20246,48534,27654,37471,40097,34809,17212,11870,110632,256081,63186,60761,16525,4676,88639,3910,2173,4564,54368,1053,1053,2050,4466,342478,1638,181512,74010,2326,-,90677,223748,33149,951,-,90677,143335,102027,12487,-,90677,196737,56683,5182,-,89923
No,UT,1953126,261955,577054,482979,294170,336968,1025577,927549,251620,1603426,19794,23453,54833,81587,572361,699628,599549,1260952,45797,156481,481953,7943,83278,514237,365246,406607,239354,234391,110012,784123,1169003,196776,1754798,1551,1362255,588380,2490,184116,145289,137564,273013,236993,288122,87381,89939,510708,1473597,456109,403039,103361,30325,538158,37090,13558,15552,228803,-,8478,1038,690,1930152,12768,1167569,367281,31864,13732,372680,1298469,244638,21387,13687,374945,945517,546147,75831,12599,373031,1336253,197719,33679,14534,370941
Not sure,UT,14510,1038,1063,10573,1570,266,3934,10577,1063,13181,-,-,266,-,-,11699,2811,11863,-,2647,-,-,-,444,2634,7500,266,-,3667,12496,2014,3667,10843,-,13434,1077,-,1038,-,3667,5385,1570,444,-,266,2140,11877,4705,2608,-,-,6423,1063,-,-,-,-,-,-,-,14510,-,10800,1077,1570,-,1063,9780,3667,-,-,1063,3934,9070,-,-,1507,5681,6423,1077,266,1063
Did not report,UT,7840,-,-,5474,1713,653,1713,6127,653,6045,-,1142,-,-,2999,3698,1142,2410,-,-,-,5431,-,1985,1142,4713,-,-,-,-,7840,1142,653,6045,1795,-,6045,-,-,-,-,-,-,-,-,7840,653,-,-,-,-,-,-,-,-,7188,-,-,-,-,1795,6045,653,-,-,-,7188,653,-,-,-,7188,653,-,-,-,7188,653,-,-,-,7188
Total,VA,6511643,554642,1634082,1723498,1159661,1439761,3135330,3376313,581067,4103612,1204725,407735,214504,296282,1959189,1855499,2400673,3692698,227937,748719,1743941,98347,417088,2183043,1265035,1295211,828623,345613,177030,2431631,4080012,1015947,5443557,52139,4022516,2441324,47803,512999,331563,403544,564167,685056,864895,407630,493978,2247811,4271976,1194016,826971,359022,210442,1564660,131474,324426,133983,1232499,118911,60247,102867,14111,6182907,68801,3350143,1055854,186902,7636,1911108,4027927,484220,74231,10435,1914830,2929372,1407201,261591,629,1912850,3595292,792904,199819,11667,1911961
Yes,VA,637593,39482,174704,199970,145664,77773,329949,307644,106006,367426,93007,60055,11099,37070,218680,181612,200231,344494,7994,93424,183338,8343,29785,250191,94766,127926,68289,38370,28266,273205,364388,88720,548873,-,466172,171421,-,41036,67555,43881,44740,76796,61245,18333,29949,254058,374793,131606,99375,57778,6301,168474,11965,88140,12742,138221,2614,-,6639,-,628340,-,297760,122317,4659,-,212857,366527,49399,8810,-,212857,235602,153999,34507,629,212857,308239,82791,32756,-,213806
No,VA,5766850,515159,1416908,1476582,1010544,1347657,2731640,3035210,474051,3683752,1075692,329950,203405,259212,1684612,1649561,2173465,3302219,216306,655295,1533993,59037,380919,1884746,1169259,1144200,735356,303606,148764,2122089,3644761,883759,4875248,7843,3506040,2257304,3507,471963,253453,359663,518134,608260,801018,389298,459034,1906028,3875670,1056815,724964,301244,196191,1385321,119509,230984,121241,1015195,116297,60247,96229,14111,5491663,24504,3043747,921060,182243,7636,1612164,3651470,423637,65421,10435,1615887,2688472,1237387,227085,-,1613906,3267578,708475,167063,11667,1612068
Not sure,VA,50165,-,2632,42539,-,4994,26452,23713,1010,16179,31619,1357,-,-,33231,9949,6985,19918,3637,-,26610,-,293,13535,1010,6711,24979,3637,-,36337,13828,43468,6697,-,37565,12600,-,-,10556,-,1293,-,2632,-,4994,30689,19875,5595,2632,-,6312,9227,-,5302,-,23685,-,-,-,-,50165,-,8636,10839,-,-,30689,9930,9546,-,-,30689,3660,15815,-,-,30689,19475,-,-,-,30689
Did not report,VA,57035,-,39838,4407,3453,9337,47289,9746,-,36255,4407,16373,-,-,22666,14377,19992,26068,-,-,-,30967,6091,34571,-,16373,-,-,-,-,57035,-,12739,44296,12739,-,44296,-,-,-,-,-,-,-,-,57035,1638,-,-,-,1638,1638,-,-,-,55397,-,-,-,-,12739,44296,-,1638,-,-,55397,-,1638,-,-,55397,1638,-,-,-,55397,-,1638,-,-,55397
Total,WA,5950326,671651,1590409,1456325,1000663,1231278,2947787,3002539,667783,4138329,213587,542283,388344,437736,1466470,1993933,2052188,3321026,219773,691910,1673586,44030,456271,1969218,1228660,1122338,669893,288440,215504,1996780,3953546,1064044,4835563,50719,3598089,2324422,27814,416615,351331,421295,711468,649153,728503,339656,457287,1875018,4051444,1345543,1020099,327208,391299,1427778,143373,317581,107281,897308,38386,10859,36846,6821,5815307,50371,3143843,1146947,138342,9555,1511639,3754133,551644,70266,28338,1545946,2712168,1453521,250433,16240,1517963,3478922,759590,176042,13307,1522464
Yes,WA,584015,73928,180832,157874,99257,72124,288378,295636,163671,278827,28180,58707,54629,70689,203353,179829,130144,290210,23805,67870,202130,-,37922,106393,107504,167892,66676,31751,65877,252167,331848,146601,434083,3330,435558,148457,-,51343,40198,26460,58154,93994,50026,16208,20912,226720,334879,101917,97714,64156,28182,107121,26794,23199,15363,157168,13499,5997,8015,-,556504,-,253504,110056,26760,-,193694,314631,50658,6472,8184,204070,225326,137146,19665,8184,193694,302379,53514,20443,3609,204070
No,WA,5305794,597722,1401820,1263771,885637,1156843,2618497,2687296,494854,3840088,161171,482165,327515,344970,1244236,1801621,1914967,3003941,195969,618827,1467652,19404,418349,1851009,1084708,946983,598427,256690,149628,1711033,3594761,917443,4364765,23586,3129715,2172068,4011,364285,311133,391587,653314,554603,677576,323448,436376,1593472,3711889,1220139,919137,258303,363117,1317704,116580,294381,91918,711123,23986,4862,28831,6821,5228203,21354,2884679,1033643,111582,9555,1266334,3430595,500986,63794,20153,1290266,2477936,1316376,230768,8055,1272659,3167636,706076,155600,9698,1266785
Not sure,WA,35892,-,3248,30247,986,1411,27636,8256,4748,1457,22077,1411,6200,22077,5213,3248,5354,26875,-,5213,3804,-,-,901,27290,2911,4790,-,-,33580,2312,-,35892,-,31995,3897,-,986,-,3248,-,556,901,-,-,30201,3854,23487,3248,4748,-,2953,-,-,-,5213,901,-,-,-,29777,5213,2443,3248,-,-,30201,5691,-,-,-,30201,5691,-,-,-,30201,5691,-,-,-,30201
Did not report,WA,24626,-,4509,4433,14783,900,13275,11351,4509,17957,2159,-,-,-,13668,9235,1723,-,-,-,-,24626,-,10914,9158,4553,-,-,-,-,24626,-,822,23803,822,-,23803,-,-,-,-,-,-,-,-,24626,822,-,-,-,-,-,-,-,-,23803,-,-,-,-,822,23803,3216,-,-,-,21409,3216,-,-,-,21409,3216,-,-,-,21409,3216,-,-,-,21409
Total,WV,1377441,69644,347800,345868,251040,363090,671932,705509,31363,1279654,38046,11587,16790,77417,653906,371748,274371,771692,90125,258021,242360,15243,124373,533408,243078,224223,160082,78239,14038,537224,840217,229367,1144561,3513,746073,628825,2543,173685,133395,152888,206815,143368,120828,26567,25179,394716,997490,242355,142774,98049,39653,402823,27897,142454,21957,195450,967,1492,1945,8285,1356057,8695,655120,349850,68174,949,303348,880706,145861,21784,23573,305516,552907,427094,89275,4488,303676,730646,281996,56244,6173,302381
Yes,WV,134736,19056,34727,32927,23480,24546,40158,94578,8163,124001,2572,-,-,10475,40223,54520,29518,78207,7125,14831,34574,-,11081,30261,40815,31278,19684,1618,-,56699,78037,20432,114304,-,93900,40837,-,14001,9782,11193,21881,15464,16573,4948,738,40157,108971,29393,16135,10725,932,23775,4963,6644,308,9955,-,-,-,-,134736,-,58133,41224,5068,949,29362,82364,10464,5209,7337,29362,43926,53024,7476,949,29362,63027,30932,10466,949,29362
No,WV,1234085,50588,312284,312941,220602,337670,625103,608983,23200,1147033,35474,11587,16790,66942,607011,317227,242904,686814,82714,243190,207786,13581,113292,494528,202263,192945,140398,76621,14038,480240,753846,208935,1023299,1851,651887,581317,881,159684,116655,141695,184935,127904,104256,21619,24441,352896,888233,212676,119681,80653,38721,372090,22934,129139,21649,183833,967,1492,1945,8285,1214363,7033,596987,301954,62820,-,272324,798056,135398,16575,9564,274492,508981,367113,81799,3539,272652,667619,250778,39106,5224,271357
Not sure,WV,286,-,-,-,286,-,-,286,-,286,-,-,-,-,-,-,286,-,286,-,-,-,-,286,-,-,-,-,-,286,-,-,286,-,286,-,-,-,286,-,-,-,-,-,-,-,286,286,286,-,-,286,-,-,-,-,-,-,-,-,286,-,-,-,286,-,-,286,-,-,-,-,-,286,-,-,-,-,286,-,-,-
Did not report,WV,8333,-,788,-,6672,874,6672,1662,-,8333,-,-,-,-,6672,-,1662,6672,-,-,-,1662,-,8333,-,-,-,-,-,-,8333,-,6672,1662,-,6672,1662,-,6672,-,-,-,-,-,-,1662,-,-,6672,6672,-,6672,-,6672,-,1662,-,-,-,-,6672,1662,-,6672,-,-,1662,-,-,-,6672,1662,-,6672,-,-,1662,-,-,6672,-,1662
Total,WI,4454731,417888,1076957,1080273,826569,1053043,2191800,2262931,324723,3650315,252509,77503,149681,238873,1472123,1441025,1302710,2530239,193402,579029,1125960,26101,460036,1730917,811953,750267,399023,194207,108328,1636149,2818582,541265,3891017,22450,2564634,1870465,19632,384795,419240,410889,627541,482848,450650,179405,165823,1333541,2996912,913522,752245,268358,238676,1104153,77746,195289,106507,643109,-,45672,3881,5303,4374486,29270,2473112,809235,104159,14786,1053440,2897114,410572,91674,-,1055371,2197505,1065305,120061,10461,1061399,2615669,594949,180217,10456,1053440
Yes,WI,609584,38644,142272,198124,115890,114653,271074,338510,86814,484693,11420,22893,3764,30757,203376,229512,145939,321648,10708,143535,133693,-,54252,251210,118030,68303,71382,27658,18748,222977,386606,63699,545884,-,383285,226299,-,45780,63895,71624,77992,65022,57195,44529,20802,162745,382312,164364,169099,62646,39312,175309,22385,44443,10412,74296,-,7036,3881,-,602547,-,325501,128165,29121,-,126797,390932,60418,31437,-,126797,284780,188687,5398,3922,126797,354836,117743,6287,3922,126797
No,WI,3768242,348537,914443,872217,700648,932397,1857299,1910943,220865,3113330,237450,51497,145100,177408,1265776,1178554,1146504,2189335,182694,428256,957921,10036,396404,1464588,689268,637184,324669,166549,89580,1408088,2360154,475453,3286404,6384,2124817,1639858,3567,336902,354008,338448,549549,417826,390576,134876,145022,1101036,2606486,745709,583146,203600,199364,920730,54543,147397,96094,501358,-,38636,-,5303,3711099,13205,2144487,674742,75038,14786,859189,2498843,348041,60237,-,861120,1907541,873689,113326,6539,867148,2253495,475094,173930,6534,859189
Not sure,WI,60840,30708,17711,5084,4460,2878,48418,12422,17044,39341,3638,-,817,30708,2971,26344,817,19257,-,7238,34346,-,5792,5184,2112,44780,2971,-,-,5084,55757,2112,58728,-,56532,4308,-,2112,1337,817,-,-,2878,-,-,53695,8114,3449,-,2112,-,8114,817,3449,-,51389,-,-,-,-,60840,-,3123,6328,-,-,51389,7339,2112,-,-,51389,5184,2930,1337,-,51389,7339,2112,-,-,51389
Did not report,WI,16065,-,2531,4849,5572,3114,15009,1056,-,12951,-,3114,-,-,-,6616,9450,-,-,-,-,16065,3587,9935,2543,-,-,-,-,-,16065,-,-,16065,-,-,16065,-,-,-,-,-,-,-,-,16065,-,-,-,-,-,-,-,-,-,16065,-,-,-,-,-,16065,-,-,-,-,16065,-,-,-,-,16065,-,-,-,-,16065,-,-,-,-,16065
Total,WY,438527,19092,113054,122291,78170,105920,221805,216722,36459,375782,7899,1602,16786,17558,142873,159222,118873,287841,14908,55373,79942,463,44387,157984,81568,48570,50953,19050,36015,182205,256322,53405,383968,1154,253424,182723,2380,26934,43032,38360,58763,44704,72262,15788,21667,117017,317080,70176,75377,22345,19505,113351,13594,12106,11697,45870,1189,7217,8352,728,420158,8781,254292,89882,8494,-,85859,291121,51514,9039,974,85879,219478,113161,19752,430,85707,273597,65401,14291,-,85237
Yes,WY,71266,5504,16532,25341,13159,10730,44611,26655,5681,55755,2102,-,7729,7975,21213,29102,12976,37981,2990,12791,17504,-,7158,19046,19635,6264,16049,753,2361,30920,40346,11841,59425,-,42396,28870,-,4026,10214,4423,12023,8834,8310,639,8931,13867,52390,12253,9481,1891,3479,17126,3872,1090,3294,6076,321,321,1090,562,67499,1794,41695,16273,1794,-,11505,49719,9497,-,545,11505,30972,21133,7656,-,11505,44852,9828,5081,-,11505
No,WY,360239,11754,96522,96283,64152,91527,176569,183670,27798,316355,5797,1602,8687,6916,118967,129084,105272,248510,11918,41724,57936,151,37229,136417,61933,40471,34903,18298,30987,146784,213455,40038,319360,841,207965,150207,2067,20407,32818,33938,46370,35558,63952,15150,12736,99311,262174,57256,65896,19788,16027,94683,9721,11017,8403,36814,867,6895,7262,165,345950,6674,210763,72260,5841,-,71374,237729,41647,9039,430,71394,188506,88355,11726,430,71222,226244,54891,8351,-,70753
Not sure,WY,5538,1834,-,667,-,3037,-,5538,2667,2501,-,-,370,2667,1834,1036,-,1036,-,-,4501,-,-,1036,-,1834,-,-,2667,4501,1036,667,4871,-,2204,3334,-,2501,-,-,370,-,-,-,-,2667,2204,667,-,667,-,370,-,-,-,2667,-,-,-,-,5538,-,1834,1036,-,-,2667,2501,370,-,-,2667,-,2501,370,-,2667,2501,370,-,-,2667
Did not report,WY,1485,-,-,-,859,626,626,859,313,1172,-,-,-,-,859,-,626,313,-,859,-,313,-,1485,-,-,-,-,-,-,1485,859,313,313,859,313,313,-,-,-,-,313,-,-,-,1172,313,-,-,-,-,1172,-,-,-,313,-,-,-,-,1172,313,-,313,859,-,313,1172,-,-,-,313,-,1172,-,-,313,-,313,859,-,313
Total,VT,485680,37364,101628,126601,91189,128898,236976,248704,14636,444829,7929,11712,6574,26874,149654,133257,175894,261057,25949,62451,134141,2081,56673,202980,73497,98123,29948,15866,8593,134654,351026,78516,405861,1303,315491,166626,3563,37816,26014,58267,58448,67333,51933,25296,28548,132025,345675,108745,88111,21259,33234,123892,6059,11809,8970,60582,2872,10411,462,907,472329,1364,265920,99866,13444,1073,105377,317643,54547,7619,494,105377,218528,148773,11314,-,107065,299892,64139,14440,400,106809
Yes,VT,40238,7312,7419,12797,4955,7756,20970,19268,-,39048,1004,-,187,6149,12174,10021,11894,16267,494,1828,20752,897,1286,16120,6549,11567,3525,1191,-,11165,29073,15016,25222,-,26654,13122,462,3231,1796,5080,1535,5629,11037,680,351,10898,25993,13867,7760,3779,616,4184,-,-,-,7689,-,-,-,-,40054,184,23712,6198,552,-,9776,26813,3649,-,-,9776,8692,20567,1202,-,9776,24367,4976,1118,-,9776
No,VT,441261,28528,94209,113241,85314,119969,214834,226428,14636,401601,6925,11712,6388,19201,137480,121753,162828,242357,25455,60623,111865,962,55387,185687,66948,84468,25503,14676,8593,121965,319297,63500,377245,517,287313,151634,2314,34586,24217,53187,56913,61704,39946,23695,28197,118816,316288,94878,80351,17480,32618,118184,6059,11809,8970,52106,2872,10411,462,907,428881,394,241287,92719,12892,1073,93290,289909,50898,6670,494,93290,208915,127256,10112,-,94978,274605,58213,13322,400,94722
Not sure,VT,3394,1524,-,-,920,949,949,2444,-,3394,-,-,-,1524,-,920,949,1869,-,-,1524,-,-,949,-,1524,920,-,-,1524,1869,-,3394,-,1524,1869,-,-,-,-,-,-,949,920,-,1524,3394,-,-,-,-,1524,-,-,-,-,-,-,-,-,3394,-,920,949,-,-,1524,920,-,949,-,1524,920,949,-,-,1524,920,949,-,-,1524
Did not report,VT,787,-,-,564,-,223,223,564,-,787,-,-,-,-,-,564,223,564,-,-,-,223,-,223,-,564,-,-,-,-,787,-,-,787,-,-,787,-,-,-,-,-,-,-,-,787,-,-,-,-,-,-,-,-,-,787,-,-,-,-,-,787,-,-,-,-,787,-,-,-,-,787,-,-,-,-,787,-,-,-,-,787
